metro,year,width,height,strict_white_cloud_pct,diffuse_cloud_pct,dark_border_pct,mean_brightness,core_diffuse_cloud_pct,core_dark_or_empty_pct
atlanta,2013,1024,1024,0.07,0.95,0.00,0.1671,0.14,0.00
atlanta,2014,1024,1024,0.05,2.58,0.00,0.1920,0.47,0.00
atlanta,2015,1024,1024,0.13,6.00,0.00,0.2450,3.32,0.00
atlanta,2016,1024,1024,0.01,1.59,0.00,0.2653,0.33,0.00
atlanta,2017,1024,1024,0.01,1.15,0.00,0.1863,0.17,0.00
atlanta,2018,1024,1024,1.23,11.49,0.00,0.2663,0.29,0.00
atlanta,2019,1024,1024,0.09,2.56,0.00,0.2403,0.89,0.00
atlanta,2020,1024,1024,0.09,2.54,0.00,0.2370,1.26,0.00
atlanta,2021,1024,1024,0.14,4.38,0.00,0.2151,2.65,0.00
atlanta,2022,1024,1024,0.03,1.60,0.00,0.2001,0.27,0.00
atlanta,2023,1024,1024,0.10,4.05,0.00,0.1935,1.17,0.00
austin,2013,512,512,0.00,1.39,0.00,0.2514,0.01,0.00
austin,2014,512,512,0.00,0.00,0.00,0.1972,0.00,0.00
austin,2015,512,512,0.00,0.00,0.00,0.2251,0.00,0.00
austin,2016,512,512,0.00,0.05,0.00,0.1810,0.00,0.00
austin,2017,512,512,0.00,0.05,0.00,0.2266,0.00,0.00
austin,2018,512,512,0.00,0.17,0.00,0.1765,0.02,0.00
austin,2019,512,512,0.00,0.01,0.00,0.2018,0.00,0.00
austin,2020,512,512,0.00,0.01,0.00,0.1762,0.00,0.00
austin,2021,512,512,0.05,4.07,0.00,0.2834,0.07,0.00
austin,2022,512,512,0.00,0.10,0.00,0.2333,0.00,0.00
austin,2023,512,512,0.00,0.00,0.00,0.3018,0.00,0.00
charlotte,2013,512,512,0.00,2.49,1.65,0.3012,0.84,0.00
charlotte,2014,512,512,0.01,1.09,0.00,0.3079,0.54,0.00
charlotte,2015,512,512,0.01,2.27,0.00,0.2487,0.48,0.00
charlotte,2016,512,512,0.00,0.38,0.00,0.1900,0.02,0.00
charlotte,2017,512,512,0.03,2.15,0.00,0.2175,0.44,0.00
charlotte,2018,512,512,0.01,0.99,0.00,0.2468,0.38,0.00
charlotte,2019,512,512,0.00,2.87,0.00,0.3383,0.68,0.00
charlotte,2020,512,512,0.01,2.47,0.00,0.3579,1.01,0.00
charlotte,2021,512,512,0.02,1.88,0.00,0.2086,0.66,0.00
charlotte,2022,512,512,0.00,0.08,0.00,0.2350,0.00,0.00
charlotte,2023,512,512,0.06,2.02,0.00,0.4281,0.95,0.00
dallas,2013,512,512,0.00,3.86,4.42,0.3351,1.26,0.00
dallas,2014,512,512,0.01,2.90,0.00,0.3592,2.69,0.00
dallas,2015,512,512,0.01,0.69,1.38,0.2841,0.25,0.00
dallas,2016,512,512,0.02,2.40,0.00,0.3448,0.61,0.00
dallas,2017,512,512,0.03,1.30,0.00,0.2325,1.07,0.00
dallas,2018,512,512,0.31,2.26,0.00,0.2032,0.05,0.00
dallas,2019,512,512,0.02,6.92,0.00,0.4055,2.74,0.00
dallas,2020,512,512,0.00,1.48,0.00,0.2657,0.67,0.00
dallas,2021,512,512,0.05,9.27,4.50,0.4180,4.29,0.00
dallas,2022,512,512,0.00,1.31,0.00,0.2697,0.99,0.00
dallas,2023,512,512,0.00,4.40,0.00,0.4006,2.28,0.00
denver,2013,512,512,0.08,5.66,0.00,0.2802,1.75,0.00
denver,2014,512,512,0.01,1.63,0.00,0.3022,0.89,0.00
denver,2015,512,512,0.04,2.95,0.00,0.3942,0.97,0.00
denver,2016,512,512,0.22,4.44,0.00,0.3204,0.64,0.00
denver,2017,512,512,0.08,4.01,0.16,0.2231,1.78,0.27
denver,2018,512,512,0.06,3.72,0.00,0.4237,0.36,0.00
denver,2019,512,512,0.00,1.40,0.00,0.2111,0.85,0.00
denver,2020,512,512,0.00,1.04,0.00,0.2998,0.79,0.00
denver,2021,512,512,0.03,2.66,0.00,0.1988,1.28,0.00
denver,2022,512,512,0.00,1.71,0.03,0.2586,1.17,0.04
denver,2023,512,512,0.00,0.62,0.01,0.1628,0.16,0.03
houston,2013,512,512,0.04,1.87,0.00,0.2543,0.00,0.00
houston,2014,512,512,0.00,0.15,0.00,0.2233,0.00,0.00
houston,2015,512,512,0.00,0.04,0.00,0.1946,0.00,0.00
houston,2016,512,512,0.00,0.05,0.00,0.2356,0.00,0.00
houston,2017,512,512,0.00,0.00,0.00,0.3535,0.00,0.00
houston,2018,512,512,0.00,0.02,0.00,0.1644,0.00,0.00
houston,2019,512,512,0.01,1.19,0.00,0.2625,0.00,0.00
houston,2020,512,512,0.00,0.00,0.00,0.2163,0.00,0.00
houston,2021,512,512,0.03,5.41,0.00,0.3273,0.53,0.01
houston,2022,512,512,0.05,1.96,0.00,0.2689,0.00,0.00
houston,2023,512,512,0.00,0.00,0.00,0.3009,0.00,0.00
jacksonville,2013,1024,512,0.23,4.99,0.15,0.2098,2.37,0.00
jacksonville,2014,1024,512,0.12,3.58,0.02,0.2055,1.90,0.00
jacksonville,2015,1024,512,0.10,2.01,0.00,0.1841,1.56,0.00
jacksonville,2016,1024,512,0.05,2.69,0.00,0.2272,1.07,0.00
jacksonville,2017,1024,512,0.16,3.83,0.00,0.2422,2.55,0.00
jacksonville,2018,1024,512,0.20,5.69,0.00,0.2647,3.01,0.00
jacksonville,2019,1024,512,0.02,1.49,0.00,0.2123,0.43,0.00
jacksonville,2020,1024,512,0.00,2.19,1.45,0.2749,0.76,0.00
jacksonville,2021,1024,512,0.06,2.59,0.00,0.2066,1.77,0.00
jacksonville,2022,1024,512,0.04,3.19,1.89,0.2274,0.94,0.00
jacksonville,2023,1024,512,0.18,5.97,0.00,0.3100,1.31,0.00
las_vegas,2013,1024,512,6.73,23.66,0.00,0.4077,19.97,0.01
las_vegas,2014,1024,512,0.71,20.79,0.00,0.4641,14.92,0.00
las_vegas,2015,1024,512,1.75,23.62,0.00,0.4715,28.45,0.00
las_vegas,2016,1024,512,0.39,9.17,0.00,0.3018,10.65,0.00
las_vegas,2017,1024,512,0.57,13.87,0.00,0.4114,10.84,0.00
las_vegas,2018,1024,512,1.92,25.59,0.00,0.4819,16.86,0.00
las_vegas,2019,1024,512,0.29,25.81,2.30,0.4557,18.71,0.00
las_vegas,2020,1024,512,1.52,23.43,1.94,0.4863,10.71,0.00
las_vegas,2021,1024,512,3.32,26.87,0.00,0.5217,16.64,0.01
las_vegas,2022,1024,512,0.78,12.63,0.00,0.3577,8.37,0.00
las_vegas,2023,1024,512,1.10,13.19,0.00,0.3853,10.01,0.00
nashville,2013,512,512,0.00,0.15,0.00,0.1314,0.06,0.00
nashville,2014,512,512,0.07,2.37,0.00,0.2025,1.38,0.00
nashville,2015,512,512,0.00,0.99,0.00,0.1912,0.16,0.00
nashville,2016,512,512,0.02,1.44,0.00,0.2633,0.07,0.00
nashville,2017,512,512,0.01,0.81,0.00,0.2037,0.67,0.00
nashville,2018,512,512,0.06,3.75,0.00,0.2766,0.36,0.00
nashville,2019,512,512,0.02,1.49,0.00,0.2354,1.06,0.00
nashville,2020,512,512,0.00,1.43,3.96,0.2158,0.41,0.00
nashville,2021,512,512,0.09,2.77,0.00,0.1910,1.26,0.00
nashville,2022,512,512,0.02,1.81,0.00,0.2083,0.59,0.00
nashville,2023,512,512,0.29,5.97,0.00,0.2028,0.55,0.00
orlando,2013,512,512,0.08,3.85,0.00,0.2014,0.16,0.00
orlando,2014,512,512,0.00,0.88,0.00,0.1541,0.94,0.00
orlando,2015,512,512,0.18,3.05,0.00,0.1942,1.14,0.00
orlando,2016,512,512,0.01,1.28,0.00,0.1411,0.99,0.00
orlando,2017,512,512,0.01,1.43,1.48,0.2485,0.73,0.00
orlando,2018,512,512,0.00,1.67,3.89,0.2097,0.55,0.00
orlando,2019,512,512,0.01,1.28,0.00,0.2284,0.62,0.00
orlando,2020,512,512,0.00,3.05,2.90,0.2240,1.58,0.00
orlando,2021,512,512,0.00,0.43,0.00,0.1728,0.10,0.00
orlando,2022,512,512,0.01,0.65,0.00,0.1620,0.45,0.00
orlando,2023,512,512,0.00,1.47,0.00,0.3202,1.51,0.00
phoenix,2013,512,1024,0.02,2.84,0.00,0.3356,3.04,0.00
phoenix,2014,512,1024,0.04,3.00,0.00,0.3289,2.16,0.00
phoenix,2015,512,1024,0.10,7.71,0.00,0.3702,4.77,0.00
phoenix,2016,512,1024,0.19,12.45,0.00,0.3557,0.50,0.00
phoenix,2017,512,1024,0.00,4.69,0.00,0.4055,5.15,0.00
phoenix,2018,512,1024,1.06,10.30,0.01,0.3924,10.24,0.00
phoenix,2019,512,1024,0.01,3.14,0.00,0.3010,1.34,0.00
phoenix,2020,512,1024,0.03,3.87,0.00,0.2883,0.74,0.00
phoenix,2021,512,1024,0.16,6.67,0.00,0.2992,6.55,0.00
phoenix,2022,512,1024,0.10,14.74,0.00,0.4330,11.59,0.00
phoenix,2023,512,1024,0.16,4.44,0.00,0.2694,6.10,0.00
raleigh,2013,1024,512,0.02,2.55,0.00,0.2513,2.13,0.00
raleigh,2014,1024,512,0.01,1.03,0.27,0.3082,0.38,0.00
raleigh,2015,1024,512,0.00,2.85,0.69,0.2764,3.34,0.00
raleigh,2016,1024,512,0.04,1.89,0.00,0.2370,0.71,0.00
raleigh,2017,1024,512,1.01,9.59,0.00,0.2919,6.44,0.00
raleigh,2018,1024,512,0.03,3.42,1.61,0.2307,1.55,0.00
raleigh,2019,1024,512,0.00,2.19,0.12,0.2633,1.58,0.00
raleigh,2020,1024,512,0.01,5.88,0.00,0.3386,2.43,0.00
raleigh,2021,1024,512,0.43,5.73,0.00,0.2783,0.61,0.00
raleigh,2022,1024,512,0.01,2.69,0.10,0.2741,0.75,0.00
raleigh,2023,1024,512,0.03,1.04,0.00,0.3381,0.20,0.00
san_antonio,2013,1024,512,0.13,11.03,0.00,0.3647,2.62,0.00
san_antonio,2014,1024,512,0.01,1.05,0.00,0.1909,0.27,0.00
san_antonio,2015,1024,512,0.00,0.00,0.00,0.1612,0.00,0.00
san_antonio,2016,1024,512,0.00,0.54,3.40,0.2060,0.01,0.00
san_antonio,2017,1024,512,0.00,0.03,0.00,0.1996,0.00,0.00
san_antonio,2018,1024,512,0.00,0.01,0.00,0.1535,0.02,0.00
san_antonio,2019,1024,512,0.00,2.28,0.00,0.2179,0.01,0.00
san_antonio,2020,1024,512,0.00,0.04,0.00,0.1819,0.00,0.00
san_antonio,2021,1024,512,0.02,3.38,0.00,0.2846,0.21,0.00
san_antonio,2022,1024,512,0.00,0.08,0.00,0.2217,0.02,0.00
san_antonio,2023,1024,512,0.01,0.56,0.00,0.1906,0.10,0.00
tampa,2013,512,512,0.01,1.16,0.00,0.1501,1.19,0.00
tampa,2014,512,512,0.00,0.24,0.00,0.1730,0.13,0.00
tampa,2015,512,512,0.02,0.81,0.00,0.1501,0.41,0.00
tampa,2016,512,512,0.07,4.07,0.00,0.1865,0.58,0.00
tampa,2017,512,512,0.09,1.71,0.00,0.1552,0.30,0.00
tampa,2018,512,512,0.02,2.06,0.00,0.1861,0.60,0.00
tampa,2019,512,512,0.01,1.79,0.00,0.2121,1.85,0.00
tampa,2020,512,512,0.01,1.67,0.00,0.1969,0.27,0.00
tampa,2021,512,512,0.05,2.18,0.00,0.1931,1.88,0.00
tampa,2022,512,512,0.00,3.63,3.72,0.2320,1.51,0.00
tampa,2023,512,512,0.05,2.76,0.00,0.1739,2.19,0.00
