metro,year,date,status,strict_white_cloud_pct,diffuse_cloud_pct,dark_or_empty_pct,mean_brightness
phoenix,2013,2013-07-01,ok,11.36,75.66,0.00,0.7535
phoenix,2013,2013-07-15,ok,0.18,59.64,8.07,0.6211
phoenix,2013,2013-08-01,ok,2.97,58.05,0.00,0.6491
phoenix,2013,2013-08-15,ok,13.74,87.58,0.00,0.8288
phoenix,2013,2013-09-01,ok,0.16,27.52,9.37,0.4443
phoenix,2014,2014-07-01,ok,5.09,84.96,0.00,0.7921
phoenix,2014,2014-07-15,ok,1.17,39.71,0.00,0.5377
phoenix,2014,2014-08-01,ok,0.05,10.85,68.18,0.1718
phoenix,2014,2014-08-15,ok,0.85,58.11,30.79,0.5389
phoenix,2014,2014-09-01,ok,0.54,15.84,0.00,0.3533
phoenix,2015,2015-07-01,ok,3.56,51.01,27.51,0.5226
phoenix,2015,2015-07-15,ok,0.31,30.87,0.00,0.4361
phoenix,2015,2015-08-01,ok,9.03,79.16,0.00,0.7623
phoenix,2015,2015-08-15,ok,0.49,55.27,0.00,0.6572
phoenix,2015,2015-09-01,ok,1.12,51.16,0.00,0.6206
phoenix,2016,2016-07-01,ok,9.29,82.61,0.00,0.7832
phoenix,2016,2016-07-15,ok,1.30,53.50,0.00,0.6239
phoenix,2016,2016-08-01,ok,2.11,61.09,0.00,0.6823
phoenix,2016,2016-08-15,ok,0.01,11.17,41.00,0.2538
phoenix,2016,2016-09-01,ok,0.96,86.11,0.00,0.7864
phoenix,2017,2017-07-01,ok,5.45,45.65,38.25,0.4584
phoenix,2017,2017-07-15,ok,0.18,20.67,64.02,0.2285
phoenix,2017,2017-08-01,ok,3.85,54.82,0.00,0.6023
phoenix,2017,2017-08-15,ok,9.77,50.51,0.00,0.6117
phoenix,2017,2017-09-01,ok,2.84,18.14,62.82,0.2302
phoenix,2018,2018-07-01,ok,0.59,53.88,0.00,0.5856
phoenix,2018,2018-07-15,ok,0.15,19.79,0.00,0.4215
phoenix,2018,2018-08-01,ok,4.04,83.91,2.08,0.7794
phoenix,2018,2018-08-15,ok,3.81,36.43,0.00,0.4767
phoenix,2018,2018-09-01,ok,1.06,15.93,0.01,0.3924
phoenix,2019,2019-07-01,ok,4.81,90.17,0.00,0.8296
phoenix,2019,2019-07-15,ok,2.14,49.69,0.00,0.6027
phoenix,2019,2019-08-01,ok,0.45,60.68,7.48,0.6303
phoenix,2019,2019-08-15,ok,2.73,22.54,67.81,0.2424
phoenix,2019,2019-09-01,ok,2.25,33.25,0.00,0.4712
phoenix,2020,2020-07-01,ok,12.79,68.20,0.00,0.7183
phoenix,2020,2020-07-15,ok,4.86,51.42,0.00,0.6153
phoenix,2020,2020-08-01,ok,0.01,17.40,67.45,0.2008
phoenix,2020,2020-08-15,ok,0.08,21.41,33.28,0.3451
phoenix,2020,2020-09-01,ok,4.65,27.56,0.00,0.4306
phoenix,2021,2021-07-01,ok,2.69,60.09,33.00,0.5638
phoenix,2021,2021-07-15,ok,4.43,72.55,0.00,0.7258
phoenix,2021,2021-08-01,ok,0.60,57.57,0.00,0.6194
phoenix,2021,2021-08-15,ok,0.12,63.97,0.00,0.6842
phoenix,2021,2021-09-01,ok,0.21,62.98,0.00,0.6656
phoenix,2022,2022-07-01,ok,5.24,66.86,0.00,0.7010
phoenix,2022,2022-07-15,ok,0.00,17.12,39.37,0.2679
phoenix,2022,2022-08-01,ok,7.98,65.27,0.00,0.6926
phoenix,2022,2022-08-15,ok,0.10,22.87,0.00,0.4330
phoenix,2022,2022-09-01,ok,0.01,17.24,40.87,0.3185
phoenix,2023,2023-07-01,ok,3.45,46.41,0.00,0.5238
phoenix,2023,2023-07-15,ok,11.37,85.68,7.90,0.7816
phoenix,2023,2023-08-01,ok,1.20,52.41,0.00,0.6019
phoenix,2023,2023-08-15,ok,0.90,66.91,0.00,0.6799
phoenix,2023,2023-09-01,ok,0.16,6.65,0.00,0.2694
las_vegas,2013,2013-07-01,ok,2.81,63.87,0.00,0.6688
las_vegas,2013,2013-07-15,ok,5.94,79.52,0.00,0.7693
las_vegas,2013,2013-08-01,ok,1.17,43.58,37.38,0.4480
las_vegas,2013,2013-08-15,ok,2.66,58.68,34.39,0.5442
las_vegas,2013,2013-09-01,ok,5.99,42.27,0.00,0.5257
las_vegas,2014,2014-07-01,ok,1.23,51.89,34.32,0.4978
las_vegas,2014,2014-07-15,ok,4.35,84.21,1.98,0.7824
las_vegas,2014,2014-08-01,ok,8.05,58.47,0.00,0.6400
las_vegas,2014,2014-08-15,ok,0.96,49.77,16.31,0.5429
las_vegas,2014,2014-09-01,ok,2.53,39.50,1.47,0.5058
las_vegas,2015,2015-07-01,ok,0.31,44.77,17.92,0.4930
las_vegas,2015,2015-07-15,ok,12.17,51.69,37.42,0.5006
las_vegas,2015,2015-08-01,ok,5.88,65.40,0.00,0.7009
las_vegas,2015,2015-08-15,ok,11.91,76.50,0.00,0.7686
las_vegas,2015,2015-09-01,ok,2.92,37.70,37.44,0.4177
las_vegas,2016,2016-07-01,ok,2.38,54.78,37.44,0.5132
las_vegas,2016,2016-07-15,ok,3.82,27.66,37.42,0.3402
las_vegas,2016,2016-08-01,ok,6.20,77.78,0.00,0.7626
las_vegas,2016,2016-08-15,ok,3.17,61.76,0.00,0.6593
las_vegas,2016,2016-09-01,ok,0.20,53.07,37.56,0.4808
las_vegas,2017,2017-07-01,ok,2.52,61.33,0.00,0.6639
las_vegas,2017,2017-07-15,ok,0.65,29.93,0.72,0.4640
las_vegas,2017,2017-08-01,ok,0.06,25.61,17.94,0.3808
las_vegas,2017,2017-08-15,ok,9.49,68.14,0.00,0.7144
las_vegas,2017,2017-09-01,ok,0.26,23.53,1.12,0.4326
las_vegas,2018,2018-07-01,ok,1.68,54.77,0.00,0.6200
las_vegas,2018,2018-07-15,ok,7.26,65.82,0.00,0.6889
las_vegas,2018,2018-08-01,ok,0.43,40.72,35.21,0.4201
las_vegas,2018,2018-08-15,ok,0.01,22.06,37.36,0.2966
las_vegas,2018,2018-09-01,ok,8.47,57.72,0.00,0.6297
las_vegas,2019,2019-07-01,ok,0.40,49.20,37.36,0.4717
las_vegas,2019,2019-07-15,ok,0.62,33.18,35.25,0.3979
las_vegas,2019,2019-08-01,ok,3.50,59.24,0.00,0.6518
las_vegas,2019,2019-08-15,ok,5.14,65.00,0.00,0.7066
las_vegas,2019,2019-09-01,ok,1.42,39.48,35.36,0.4211
las_vegas,2020,2020-07-01,ok,1.80,46.54,35.38,0.4717
las_vegas,2020,2020-07-15,ok,5.27,61.41,2.39,0.6562
las_vegas,2020,2020-08-01,ok,1.88,55.92,0.00,0.6318
las_vegas,2020,2020-08-15,ok,0.83,56.56,15.03,0.5993
las_vegas,2020,2020-09-01,ok,14.39,88.83,2.44,0.8363
las_vegas,2021,2021-07-01,ok,4.64,59.48,15.19,0.6061
las_vegas,2021,2021-07-15,ok,0.06,39.03,37.51,0.4180
las_vegas,2021,2021-08-01,ok,10.05,80.07,0.00,0.7788
las_vegas,2021,2021-08-15,ok,1.84,46.29,0.00,0.5913
las_vegas,2021,2021-09-01,ok,1.06,39.59,37.55,0.4210
las_vegas,2022,2022-07-01,ok,2.83,52.34,0.00,0.6059
las_vegas,2022,2022-07-15,ok,0.71,38.77,0.00,0.5356
las_vegas,2022,2022-08-01,ok,0.66,47.05,37.61,0.4498
las_vegas,2022,2022-08-15,ok,1.71,45.47,17.94,0.5040
las_vegas,2022,2022-09-01,ok,0.43,22.13,0.00,0.4417
las_vegas,2023,2023-07-01,ok,3.64,65.63,3.51,0.6840
las_vegas,2023,2023-07-15,ok,4.56,56.12,39.52,0.5101
las_vegas,2023,2023-08-01,ok,5.90,55.93,29.86,0.5466
las_vegas,2023,2023-08-15,ok,7.01,53.05,40.06,0.4885
las_vegas,2023,2023-09-01,ok,0.19,15.65,40.44,0.2677
denver,2013,2013-07-01,ok,0.03,3.68,65.46,0.1227
denver,2013,2013-07-15,ok,0.03,9.33,19.24,0.2551
denver,2013,2013-08-01,ok,0.51,9.17,0.00,0.3731
denver,2013,2013-08-15,ok,0.02,5.92,0.00,0.3330
denver,2013,2013-09-01,ok,0.13,6.55,17.23,0.2420
denver,2014,2014-07-01,ok,0.01,2.67,0.00,0.3022
denver,2014,2014-07-15,ok,4.37,51.64,0.00,0.5919
denver,2014,2014-08-01,ok,8.61,50.02,0.00,0.5995
denver,2014,2014-08-15,ok,1.98,21.37,0.00,0.3710
denver,2014,2014-09-01,ok,2.97,30.95,0.00,0.4960
denver,2015,2015-07-01,ok,0.05,18.43,0.00,0.4029
denver,2015,2015-07-15,ok,0.41,15.72,0.00,0.3865
denver,2015,2015-08-01,ok,0.57,6.51,47.50,0.1539
denver,2015,2015-08-15,ok,0.02,3.70,49.71,0.1510
denver,2015,2015-09-01,ok,0.19,6.31,0.01,0.3440
denver,2016,2016-07-01,ok,0.84,19.58,0.00,0.3801
denver,2016,2016-07-15,ok,13.41,52.12,0.00,0.6247
denver,2016,2016-08-01,ok,1.13,10.21,50.98,0.2160
denver,2016,2016-08-15,ok,1.78,23.69,0.00,0.3971
denver,2016,2016-09-01,ok,0.06,19.80,0.00,0.5104
denver,2017,2017-07-01,ok,2.82,32.01,0.00,0.4652
denver,2017,2017-07-15,ok,0.74,20.93,0.00,0.3767
denver,2017,2017-08-01,ok,0.30,13.31,0.00,0.3490
denver,2017,2017-08-15,ok,0.29,13.60,10.13,0.3469
denver,2017,2017-09-01,ok,0.77,11.08,0.01,0.2233
denver,2018,2018-07-01,ok,9.39,54.07,14.41,0.5902
denver,2018,2018-07-15,ok,0.02,2.44,65.24,0.1132
denver,2018,2018-08-01,ok,15.54,57.37,0.00,0.6659
denver,2018,2018-08-15,ok,0.06,7.00,0.00,0.4237
denver,2018,2018-09-01,ok,0.00,1.87,65.48,0.0971
denver,2019,2019-07-01,ok,0.57,41.59,0.00,0.5841
denver,2019,2019-07-15,ok,2.05,18.16,0.03,0.4008
denver,2019,2019-08-01,ok,0.02,6.99,20.17,0.2150
denver,2019,2019-08-15,ok,2.12,47.23,0.00,0.6083
denver,2019,2019-09-01,ok,0.04,1.95,0.02,0.2944
denver,2020,2020-07-01,ok,0.06,6.31,0.00,0.2969
denver,2020,2020-07-15,ok,0.00,2.69,0.00,0.2998
denver,2020,2020-08-01,ok,0.64,15.44,0.00,0.2903
denver,2020,2020-08-15,ok,0.50,7.08,0.03,0.2201
denver,2020,2020-09-01,ok,0.00,10.27,0.01,0.2432
denver,2021,2021-07-01,ok,5.66,35.77,0.00,0.4735
denver,2021,2021-07-15,ok,10.93,43.89,0.00,0.5611
denver,2021,2021-08-01,ok,0.15,9.23,41.86,0.2030
denver,2021,2021-08-15,ok,1.48,15.99,54.85,0.2296
denver,2021,2021-09-01,ok,0.22,6.36,0.02,0.3366
denver,2022,2022-07-01,ok,2.87,25.44,53.03,0.3013
denver,2022,2022-07-15,ok,16.73,56.04,0.00,0.6409
denver,2022,2022-08-01,ok,0.42,14.16,0.00,0.4274
denver,2022,2022-08-15,ok,0.16,7.36,0.00,0.3023
denver,2022,2022-09-01,ok,0.36,10.53,0.00,0.2740
denver,2023,2023-07-01,ok,0.15,21.55,0.00,0.3983
denver,2023,2023-07-15,ok,14.29,45.72,0.00,0.5939
denver,2023,2023-08-01,ok,0.05,1.99,0.00,0.2768
denver,2023,2023-08-15,ok,24.60,63.77,0.00,0.7189
denver,2023,2023-09-01,ok,5.91,27.18,0.01,0.5339
dallas,2013,2013-07-01,ok,0.70,17.86,0.00,0.4477
dallas,2013,2013-07-15,ok,0.60,20.08,0.00,0.4290
dallas,2013,2013-08-01,ok,0.02,10.84,0.00,0.3633
dallas,2013,2013-08-15,ok,1.39,48.25,0.00,0.6146
dallas,2013,2013-09-01,ok,0.01,23.94,0.00,0.5130
dallas,2014,2014-07-01,ok,0.28,28.79,0.00,0.4824
dallas,2014,2014-07-15,ok,0.49,29.59,0.00,0.5066
dallas,2014,2014-08-01,ok,0.00,2.28,34.67,0.1949
dallas,2014,2014-08-15,ok,0.02,16.08,68.26,0.1950
dallas,2014,2014-09-01,ok,1.48,38.84,0.00,0.5652
dallas,2015,2015-07-01,ok,0.09,19.24,65.61,0.2176
dallas,2015,2015-07-15,ok,0.01,1.75,1.38,0.2841
dallas,2015,2015-08-01,ok,0.01,4.02,0.00,0.2894
dallas,2015,2015-08-15,ok,0.00,4.09,0.00,0.2746
dallas,2015,2015-09-01,ok,0.18,46.48,2.28,0.6053
dallas,2016,2016-07-01,ok,0.14,23.86,1.88,0.4794
dallas,2016,2016-07-15,ok,0.05,13.32,0.00,0.3661
dallas,2016,2016-08-01,ok,0.00,3.97,0.00,0.2596
dallas,2016,2016-08-15,ok,0.00,19.93,3.83,0.4704
dallas,2016,2016-09-01,ok,0.17,37.20,0.00,0.5632
dallas,2017,2017-07-01,ok,0.01,12.78,2.33,0.3414
dallas,2017,2017-07-15,ok,0.01,2.63,67.81,0.0946
dallas,2017,2017-08-01,ok,0.03,2.16,0.00,0.2325
dallas,2017,2017-08-15,ok,0.61,43.00,0.00,0.5840
dallas,2017,2017-09-01,ok,0.00,6.18,69.17,0.1546
dallas,2018,2018-07-01,ok,0.31,3.10,0.00,0.2032
dallas,2018,2018-07-15,ok,0.00,2.87,0.00,0.2964
dallas,2018,2018-08-01,ok,0.08,35.01,30.03,0.4327
dallas,2018,2018-08-15,ok,0.40,38.67,0.00,0.5699
dallas,2018,2018-09-01,ok,0.00,19.03,0.00,0.4537
dallas,2019,2019-07-01,ok,0.11,6.43,0.00,0.2850
dallas,2019,2019-07-15,ok,0.07,12.25,0.00,0.3611
dallas,2019,2019-08-01,ok,0.00,14.41,0.00,0.4000
dallas,2019,2019-08-15,ok,0.00,19.59,33.89,0.3578
dallas,2019,2019-09-01,ok,0.02,11.56,0.00,0.4055
dallas,2020,2020-07-01,ok,0.05,4.29,0.00,0.2712
dallas,2020,2020-07-15,ok,0.00,3.18,0.00,0.2657
dallas,2020,2020-08-01,ok,0.00,0.74,33.33,0.1278
dallas,2020,2020-08-15,ok,0.00,9.93,69.87,0.1664
dallas,2020,2020-09-01,ok,0.04,16.86,0.00,0.4476
dallas,2021,2021-07-01,ok,0.01,13.29,69.74,0.1743
dallas,2021,2021-07-15,ok,0.05,15.22,4.50,0.4180
dallas,2021,2021-08-01,ok,0.49,26.28,0.00,0.4602
dallas,2021,2021-08-15,ok,0.02,14.91,0.00,0.3737
dallas,2021,2021-09-01,ok,0.22,36.78,4.58,0.5499
dallas,2022,2022-07-01,ok,0.01,12.23,0.00,0.3727
dallas,2022,2022-07-15,ok,0.14,27.43,2.85,0.4641
dallas,2022,2022-08-01,ok,0.81,47.16,0.00,0.5820
dallas,2022,2022-08-15,ok,0.02,7.15,0.00,0.3322
dallas,2022,2022-09-01,ok,0.00,17.00,3.72,0.4288
dallas,2023,2023-07-01,ok,0.50,24.19,0.00,0.4542
dallas,2023,2023-07-15,ok,0.30,43.26,0.00,0.5724
dallas,2023,2023-08-01,ok,0.37,27.88,0.00,0.4973
dallas,2023,2023-08-15,ok,0.08,28.87,0.00,0.5192
dallas,2023,2023-09-01,ok,0.04,16.62,0.00,0.4521
